MODIFIED_ZCTA,BOROUGH_GROUP,NEIGHBORHOOD_NAME
10001,Manhattan,Chelsea - Clinton
10002,Manhattan,Union Square - Lower East Side
10003,Manhattan,Union Square - Lower East Side
10004,Manhattan,Lower Manhattan
10005,Manhattan,Lower Manhattan
10006,Manhattan,Lower Manhattan
10007,Manhattan,Lower Manhattan
10009,Manhattan,Union Square - Lower East Side
10010,Manhattan,Gramercy Park - Murray Hill
10011,Manhattan,Chelsea - Clinton
10012,Manhattan,Greenwich Village - Soho
10013,Manhattan,Greenwich Village - Soho
10014,Manhattan,Greenwich Village - Soho
10016,Manhattan,Gramercy Park - Murray Hill
10017,Manhattan,Gramercy Park - Murray Hill
10018,Manhattan,Chelsea - Clinton
10019,Manhattan,Chelsea - Clinton
10021,Manhattan,Upper East Side
10022,Manhattan,Gramercy Park - Murray Hill
10023,Manhattan,Upper West Side
10024,Manhattan,Upper West Side
10025,Manhattan,Upper West Side
10026,Manhattan,Central Harlem - Morningside Height
10027,Manhattan,Central Harlem - Morningside Height
10028,Manhattan,Upper East Side
10029,Manhattan,East Harlem
10030,Manhattan,Central Harlem - Morningside Height
10031,Manhattan,Washington Heights - Inwood
10032,Manhattan,Washington Heights - Inwood
10033,Manhattan,Washington Heights - Inwood
10034,Manhattan,Washington Heights - Inwood
10035,Manhattan,East Harlem
10036,Manhattan,Chelsea - Clinton
10037,Manhattan,Central Harlem - Morningside Height
10038,Manhattan,Lower Manhattan
10039,Manhattan,Central Harlem - Morningside Height
10040,Manhattan,Washington Heights - Inwood
10044,Manhattan,Upper East Side
10065,Manhattan,Upper East Side
10069,Manhattan,Upper West Side
10075,Manhattan,Upper East Side
10128,Manhattan,Upper East Side
10280,Manhattan,Lower Manhattan
10282,Manhattan,Lower Manhattan
10301,Staten Island,Stapleton - St. George
10302,Staten Island,Port Richmond
10303,Staten Island,Port Richmond
10304,Staten Island,Stapleton - St. George
10305,Staten Island,Stapleton - St. George
10306,Staten Island,South Beach - Tottenville
10307,Staten Island,South Beach - Tottenville
10308,Staten Island,South Beach - Tottenville
10309,Staten Island,South Beach - Tottenville
10310,Staten Island,Port Richmond
10312,Staten Island,South Beach - Tottenville
10314,Staten Island,Willowbrook
10451,Bronx,High Bridge - Morrisania
10452,Bronx,High Bridge - Morrisania
10453,Bronx,Crotona - Tremont
10454,Bronx,Hunts Point - Mott Haven
10455,Bronx,Hunts Point - Mott Haven
10456,Bronx,High Bridge - Morrisania
10457,Bronx,Crotona - Tremont
10458,Bronx,Fordham - Bronx Park
10459,Bronx,Hunts Point - Mott Haven
10460,Bronx,Crotona - Tremont
10461,Bronx,Pelham - Throgs Neck
10462,Bronx,Pelham - Throgs Neck
10463,Bronx,Kingsbridge - Riverdale
10464,Bronx,Pelham - Throgs Neck
10465,Bronx,Pelham - Throgs Neck
10466,Bronx,Northeast Bronx
10467,Bronx,Fordham - Bronx Park
10468,Bronx,Fordham - Bronx Park
10469,Bronx,Northeast Bronx
10470,Bronx,Northeast Bronx
10471,Bronx,Kingsbridge - Riverdale
10472,Bronx,Pelham - Throgs Neck
10473,Bronx,Pelham - Throgs Neck
10474,Bronx,Hunts Point - Mott Haven
10475,Bronx,Northeast Bronx
11004,Queens,Southeast Queens
11101,Queens,Long Island City - Astoria
11102,Queens,Long Island City - Astoria
11103,Queens,Long Island City - Astoria
11104,Queens,Long Island City - Astoria
11105,Queens,Long Island City - Astoria
11106,Queens,Long Island City - Astoria
11109,Queens,Long Island City - Astoria
11201,Brooklyn,Downtown - Heights - Slope
11203,Brooklyn,East Flatbush - Flatbush
11204,Brooklyn,Borough Park
11205,Brooklyn,Downtown - Heights - Slope
11206,Brooklyn,Williamsburg - Bushwick
11207,Brooklyn,East New York
11208,Brooklyn,East New York
11209,Brooklyn,Bensonhurst - Bay Ridge
11210,Brooklyn,East Flatbush - Flatbush
11211,Brooklyn,Greenpoint
11212,Brooklyn,Bedford Stuyvesant - Crown Heights
11213,Brooklyn,Bedford Stuyvesant - Crown Heights
11214,Brooklyn,Bensonhurst - Bay Ridge
11215,Brooklyn,Downtown - Heights - Slope
11216,Brooklyn,Bedford Stuyvesant - Crown Heights
11217,Brooklyn,Downtown - Heights - Slope
11218,Brooklyn,Borough Park
11219,Brooklyn,Borough Park
11220,Brooklyn,Sunset Park
11221,Brooklyn,Williamsburg - Bushwick
11222,Brooklyn,Greenpoint
11223,Brooklyn,Coney Island - Sheepshead Bay
11224,Brooklyn,Coney Island - Sheepshead Bay
11225,Brooklyn,East Flatbush - Flatbush
11226,Brooklyn,East Flatbush - Flatbush
11228,Brooklyn,Bensonhurst - Bay Ridge
11229,Brooklyn,Coney Island - Sheepshead Bay
11230,Brooklyn,Borough Park
11231,Brooklyn,Downtown - Heights - Slope
11232,Brooklyn,Sunset Park
11233,Brooklyn,Bedford Stuyvesant - Crown Heights
11234,Brooklyn,Canarsie - Flatlands
11235,Brooklyn,Coney Island - Sheepshead Bay
11236,Brooklyn,Canarsie - Flatlands
11237,Brooklyn,Williamsburg - Bushwick
11238,Brooklyn,Bedford Stuyvesant - Crown Heights
11239,Brooklyn,Canarsie - Flatlands
11354,Queens,Flushing - Clearview
11355,Queens,Flushing - Clearview
11356,Queens,Flushing - Clearview
11357,Queens,Flushing - Clearview
11358,Queens,Flushing - Clearview
11360,Queens,Flushing - Clearview
11361,Queens,Bayside - Little Neck
11362,Queens,Bayside - Little Neck
11363,Queens,Bayside - Little Neck
11364,Queens,Bayside - Little Neck
11365,Queens,Fresh Meadows
11366,Queens,Fresh Meadows
11367,Queens,Fresh Meadows
11368,Queens,West Queens
11369,Queens,West Queens
11370,Queens,West Queens
11372,Queens,West Queens
11373,Queens,West Queens
11374,Queens,Ridgewood - Forest Hills
11375,Queens,Ridgewood - Forest Hills
11377,Queens,West Queens
11378,Queens,West Queens
11379,Queens,Ridgewood - Forest Hills
11385,Queens,Ridgewood - Forest Hills
11411,Queens,Southeast Queens
11412,Queens,Jamaica
11413,Queens,Southeast Queens
11414,Queens,Southwest Queens
11415,Queens,Southwest Queens
11416,Queens,Southwest Queens
11417,Queens,Southwest Queens
11418,Queens,Southwest Queens
11419,Queens,Southwest Queens
11420,Queens,Southwest Queens
11421,Queens,Southwest Queens
11422,Queens,Southeast Queens
11423,Queens,Jamaica
11426,Queens,Southeast Queens
11427,Queens,Southeast Queens
11428,Queens,Southeast Queens
11429,Queens,Southeast Queens
11432,Queens,Jamaica
11433,Queens,Jamaica
11434,Queens,Jamaica
11435,Queens,Jamaica
11436,Queens,Jamaica
11691,Queens,Rockaway
11692,Queens,Rockaway
11693,Queens,Rockaway
11694,Queens,Rockaway
11697,Queens,Rockaway
